Name_of_Covered_Entity,State,Covered_Entity_Type,Individuals_Affected,Breach_Submission_Date,Breach_Date,Type_of_Breach,Location_of_Breached_Information,Status,Year,Days_to_Report
Liberty Eye Care,OH,Healthcare Provider,3466,08/02/2021,06/09/2021,Hacking/IT Incident,Email,Archived,2021,54
Good Samaritan Home Health,OK,Healthcare Provider,4974,06/02/2021,02/28/2021,Hacking/IT Incident,Network Server,Archived,2021,94
Wellspring Mental Health Services,ME,Healthcare Provider,823,08/25/2021,03/08/2021,Hacking/IT Incident,Paper/Films,Archived,2021,170
Summit Dental Group,MA,Healthcare Provider,16735,06/08/2021,03/23/2021,Hacking/IT Incident,Email,Archived,2021,77
Beacon Family Practice,OR,Healthcare Provider,5514,02/09/2022,11/15/2021,Theft,Network Server,Archived,2021,86
Heritage Health System,VA,Healthcare Provider,12769,01/09/2022,12/25/2021,Hacking/IT Incident,Other,Archived,2021,15
Sacred Heart Health Services,MI,Healthcare Provider,7294,06/30/2021,02/16/2021,Unauthorized Access/Disclosure,Paper/Films,Archived,2021,134
United Health Services,TX,Healthcare Provider,500,01/22/2022,08/01/2021,Hacking/IT Incident,Email,Archived,2021,174
Regional Health Services,WV,Healthcare Provider,3232,07/10/2021,03/02/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,130
Liberty Medical Center,MO,Healthcare Provider,12527,05/23/2021,01/19/2021,Hacking/IT Incident,Email,Archived,2021,124
Centene Corp,OR,Health Plan,10113237,07/31/2021,02/06/2021,Hacking/IT Incident,Network Server,Archived,2021,175
Liberty Physicians Group,NY,Healthcare Provider,7479,03/08/2022,10/06/2021,Hacking/IT Incident,Network Server,Archived,2021,153
Advanced Home Health,WI,Healthcare Provider,1624,12/04/2021,11/05/2021,Other,Paper/Films,Archived,2021,29
Legacy Eye Care,NM,Healthcare Provider,14141,12/16/2021,10/09/2021,Hacking/IT Incident,Email,Archived,2021,68
Valley Medical Group,RI,Healthcare Provider,8889,06/02/2021,03/19/2021,Hacking/IT Incident,Email,Archived,2021,75
Valley Health Services,KS,Healthcare Provider,1464,07/27/2021,06/20/2021,Theft,Email,Archived,2021,37
Regional Urgent Care,NC,Healthcare Provider,671824,01/11/2022,12/02/2021,Hacking/IT Incident,Network Server,Archived,2021,40
RxTech Solutions,FL,Business Associate,50748,11/26/2021,11/02/2021,Hacking/IT Incident,Network Server,Archived,2021,24
Providence Clinical Associates,MA,Healthcare Provider,7807,07/07/2021,03/15/2021,Theft,Email,Archived,2021,114
SecureHealth Corp,NY,Business Associate,4636,11/22/2021,06/05/2021,Hacking/IT Incident,Network Server,Archived,2021,170
PrimeHealth Analytics,DC,Business Associate,500,03/11/2022,11/11/2021,Unauthorized Access/Disclosure,Other,Archived,2021,120
Cigna Healthcare,CT,Health Plan,148988,09/04/2021,08/17/2021,Hacking/IT Incident,Paper/Films,Archived,2021,18
Community Surgical Center,MN,Healthcare Provider,1245,06/01/2021,04/22/2021,Hacking/IT Incident,Laptop,Archived,2021,40
Providence Home Health,RI,Healthcare Provider,1512,02/10/2022,09/26/2021,Hacking/IT Incident,Paper/Films,Archived,2021,137
Trinity Health System,PA,Healthcare Provider,982,02/17/2022,09/18/2021,Hacking/IT Incident,Email,Archived,2021,152
Cigna Healthcare,FL,Health Plan,500,10/24/2021,04/27/2021,Hacking/IT Incident,Other,Archived,2021,180
Community Health Network,AK,Healthcare Provider,3612,12/19/2021,07/21/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,151
Good Samaritan Rehabilitation Center,WI,Healthcare Provider,2771,03/20/2021,01/28/2021,Hacking/IT Incident,Network Server,Archived,2021,51
MedSecure Solutions,MA,Business Associate,3444,06/21/2021,05/31/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,21
Pinnacle Urgent Care,NC,Healthcare Provider,336960,02/12/2021,01/12/2021,Hacking/IT Incident,Email,Archived,2021,31
RxTech Solutions,AL,Business Associate,10174,12/12/2021,07/01/2021,Hacking/IT Incident,Network Server,Archived,2021,164
PrimeHealth Analytics,WY,Business Associate,6276,01/11/2022,09/18/2021,Hacking/IT Incident,Network Server,Archived,2021,115
HealthVault Systems,MT,Business Associate,1577,01/31/2022,10/14/2021,Hacking/IT Incident,Other,Archived,2021,109
CarePoint Technologies,AK,Business Associate,28917,06/07/2021,02/16/2021,Hacking/IT Incident,Network Server,Archived,2021,111
Centene Corp,TX,Health Plan,2643,02/28/2022,10/26/2021,Theft,Network Server,Archived,2021,125
Kaiser Foundation,NE,Health Plan,82447,06/15/2021,03/04/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,103
Memorial Surgical Center,CT,Healthcare Provider,500,12/23/2021,11/09/2021,Hacking/IT Incident,Network Server,Archived,2021,44
Sacred Heart Healthcare,PA,Healthcare Provider,160659,06/16/2021,02/18/2021,Hacking/IT Incident,Paper/Films,Archived,2021,118
Heritage Urgent Care,IN,Healthcare Provider,2200,08/15/2021,07/17/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,29
Mercy Physicians Group,MT,Healthcare Provider,36741,08/05/2021,03/06/2021,Hacking/IT Incident,Network Server,Archived,2021,152
Mountain Pharmacy,VA,Healthcare Provider,953,05/10/2022,11/27/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,164
Memorial Health Services,PA,Healthcare Provider,4816,11/11/2021,07/13/2021,Other,Electronic Medical Record,Archived,2021,121
UnitedHealth Group,NC,Health Plan,714,03/07/2021,01/17/2021,Hacking/IT Incident,Other,Archived,2021,49
PrimeHealth Analytics,AZ,Business Associate,939,02/23/2021,01/21/2021,Hacking/IT Incident,Network Server,Archived,2021,33
Centene Corp,OH,Health Plan,500,12/23/2021,07/03/2021,Unauthorized Access/Disclosure,Email,Archived,2021,173
Regional Medical Group,MD,Healthcare Provider,1907,09/17/2021,05/22/2021,Hacking/IT Incident,Paper/Films,Archived,2021,118
Lakeside Mental Health Services,WI,Healthcare Provider,610,11/06/2021,07/22/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,107
Premier Mental Health Services,NE,Healthcare Provider,500,06/27/2021,03/07/2021,Unauthorized Access/Disclosure,Email,Archived,2021,112
Integrated Clinical Associates,CT,Healthcare Provider,3624,01/24/2022,11/24/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,61
Heritage Clinical Associates,ND,Healthcare Provider,765,07/11/2021,04/02/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,100
Providence Health Network,KS,Healthcare Provider,1543,10/25/2021,09/04/2021,Hacking/IT Incident,Email,Archived,2021,51
Central Rehabilitation Center,ND,Healthcare Provider,18546,08/25/2021,05/10/2021,Hacking/IT Incident,Network Server,Archived,2021,107
Guardian Home Health,DC,Healthcare Provider,2512,04/02/2021,02/17/2021,Hacking/IT Incident,Email,Archived,2021,44
Pinnacle Family Practice,WV,Healthcare Provider,3848,01/05/2022,12/19/2021,Hacking/IT Incident,Email,Archived,2021,17
Legacy Medical Center,AL,Healthcare Provider,166633,05/08/2021,04/10/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,28
Pinnacle Health System,IL,Healthcare Provider,757,05/18/2021,02/13/2021,Theft,Network Server,Archived,2021,94
Harmony Pharmacy,CA,Healthcare Provider,9512,09/21/2021,03/29/2021,Hacking/IT Incident,Email,Archived,2021,176
National Dental Group,UT,Healthcare Provider,122566,07/21/2021,06/04/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,47
Pacific Physicians Group,IN,Healthcare Provider,78509,06/08/2021,05/06/2021,Hacking/IT Incident,Network Server,Archived,2021,33
Regional Surgical Center,MN,Healthcare Provider,600,12/18/2021,06/21/2021,Theft,Network Server,Archived,2021,180
Beacon Medical Center,OR,Healthcare Provider,1092,07/22/2021,05/29/2021,Hacking/IT Incident,Network Server,Archived,2021,54
American Health Plan,KY,Healthcare Provider,1180,04/02/2021,03/14/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,19
Providence Health Network,CO,Healthcare Provider,500,06/05/2021,03/11/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,86
Community Health System,MT,Healthcare Provider,5700,12/24/2021,12/02/2021,Hacking/IT Incident,Network Server,Archived,2021,22
Pacific Rehabilitation Center,ME,Healthcare Provider,500,12/01/2021,10/22/2021,Hacking/IT Incident,Network Server,Archived,2021,40
Humana Health Plan,OR,Health Plan,815,08/19/2021,05/11/2021,Hacking/IT Incident,Network Server,Archived,2021,100
Memorial Medical Group,DC,Healthcare Provider,3530,11/20/2021,06/02/2021,Hacking/IT Incident,Email,Archived,2021,171
MedData Services,TN,Business Associate,1892,07/11/2021,01/28/2021,Hacking/IT Incident,Email,Archived,2021,164
Advanced Medical Group,NM,Healthcare Provider,500,07/29/2021,05/05/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,85
Alliance Rehabilitation Center,LA,Healthcare Provider,500,05/28/2021,02/17/2021,Unauthorized Access/Disclosure,Email,Archived,2021,100
Legacy Medical Center,TN,Healthcare Provider,1929,09/12/2021,07/19/2021,Hacking/IT Incident,Network Server,Archived,2021,55
Advanced Medical Group,WV,Healthcare Provider,24473,09/18/2021,07/09/2021,Hacking/IT Incident,Network Server,Archived,2021,71
United Health Services,NM,Healthcare Provider,51582,08/25/2021,06/12/2021,Hacking/IT Incident,Laptop,Archived,2021,74
Integrated Urgent Care,SD,Healthcare Provider,500,07/01/2021,05/08/2021,Theft,Network Server,Archived,2021,54
United Physicians Group,ME,Healthcare Provider,1343,09/17/2021,03/22/2021,Hacking/IT Incident,Email,Archived,2021,179
Legacy Dental Group,MN,Healthcare Provider,3525,03/02/2022,12/04/2021,Hacking/IT Incident,Email,Archived,2021,88
Mercy Pharmacy,IA,Healthcare Provider,2683,11/24/2021,10/03/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,52
NovaCare Systems,AR,Business Associate,36264,06/16/2021,02/21/2021,Hacking/IT Incident,Email,Archived,2021,115
Memorial Healthcare,NJ,Healthcare Provider,45086,08/13/2021,07/14/2021,Hacking/IT Incident,Email,Archived,2021,30
Mountain Family Practice,NC,Healthcare Provider,341382,10/29/2021,05/21/2021,Hacking/IT Incident,Network Server,Archived,2021,161
Good Samaritan Health Services,ME,Healthcare Provider,10357,12/09/2021,08/15/2021,Hacking/IT Incident,Other,Archived,2021,116
Heritage Physicians Group,KY,Healthcare Provider,38222,03/26/2022,12/26/2021,Hacking/IT Incident,Email,Archived,2021,90
SecureHealth Corp,CA,Business Associate,5206,04/23/2022,10/29/2021,Hacking/IT Incident,Email,Archived,2021,176
Integrated Family Practice,OR,Healthcare Provider,6140,01/20/2022,12/08/2021,Hacking/IT Incident,Network Server,Archived,2021,43
Integrated Healthcare,OH,Healthcare Provider,6474,10/08/2021,04/23/2021,Hacking/IT Incident,Paper/Films,Archived,2021,168
Community Health System,ND,Healthcare Provider,57957,10/14/2021,05/07/2021,Hacking/IT Incident,Network Server,Archived,2021,160
ClinicalPath Software,MO,Business Associate,6926,11/10/2021,09/04/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,67
University Dental Group,FL,Healthcare Provider,697,03/12/2022,12/20/2021,Hacking/IT Incident,Network Server,Archived,2021,82
Sacred Heart Health Network,CA,Healthcare Provider,52549,11/13/2021,10/06/2021,Hacking/IT Incident,Email,Archived,2021,38
Community Health Services,NJ,Healthcare Provider,3019,04/29/2021,01/25/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,94
PrimeHealth Analytics,NY,Business Associate,1554,06/28/2021,03/02/2021,Improper Disposal,Desktop Computer,Archived,2021,118
SecureHealth Corp,WY,Business Associate,41651,04/30/2021,03/15/2021,Hacking/IT Incident,Laptop,Archived,2021,46
Pinnacle Healthcare Clearinghouse,AZ,Healthcare Clearinghouse,22984,07/07/2021,05/14/2021,Hacking/IT Incident,Network Server,Archived,2021,54
Valley Physicians Group,WV,Healthcare Provider,500,01/18/2022,12/10/2021,Theft,Network Server,Archived,2021,39
WellCare Health Plans,OH,Health Plan,1396,06/03/2021,04/15/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,49
ClinicalPath Software,MS,Business Associate,1960,02/28/2021,01/03/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,56
University Physicians Group,NV,Healthcare Provider,1153,09/07/2021,06/03/2021,Improper Disposal,Email,Archived,2021,96
Mercy Pharmacy,PA,Healthcare Provider,9397,10/02/2021,05/31/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,124
Mountain Health Network,LA,Healthcare Provider,1657,12/24/2021,11/11/2021,Other,Network Server,Archived,2021,43
Central Surgical Center,TN,Healthcare Provider,8832,06/22/2021,05/26/2021,Hacking/IT Incident,Network Server,Archived,2021,27
St. Mary's Rehabilitation Center,OR,Healthcare Provider,500,02/05/2022,12/05/2021,Hacking/IT Incident,Other,Archived,2021,62
Advanced Family Practice,NH,Healthcare Provider,80250,07/13/2021,06/09/2021,Hacking/IT Incident,Paper/Films,Archived,2021,34
Wellspring Home Health,MO,Healthcare Provider,740,03/21/2022,10/05/2021,Theft,Network Server,Archived,2021,167
Regional Rehabilitation Center,FL,Healthcare Provider,13971,04/05/2022,10/19/2021,Hacking/IT Incident,Other,Archived,2021,168
SecureHealth Corp,KY,Business Associate,2168,12/02/2021,08/20/2021,Hacking/IT Incident,Paper/Films,Archived,2021,104
Guardian Health Services,IL,Healthcare Provider,11905,08/12/2021,04/05/2021,Hacking/IT Incident,Network Server,Archived,2021,129
Beacon Hospital,CA,Healthcare Provider,172689,04/05/2021,01/14/2021,Hacking/IT Incident,Network Server,Archived,2021,81
Anthem Blue Cross,CA,Health Plan,3531,07/03/2021,05/21/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,43
Memorial Hospital,OH,Healthcare Provider,668,06/16/2021,01/21/2021,Improper Disposal,Other,Archived,2021,146
Valley Healthcare Clearinghouse,VT,Healthcare Clearinghouse,500,04/25/2021,01/31/2021,Hacking/IT Incident,Email,Archived,2021,84
Kaiser Foundation,GA,Health Plan,500,08/30/2021,04/09/2021,Unauthorized Access/Disclosure,Electronic Medical Record,Archived,2021,143
Sacred Heart Hospital,MI,Healthcare Provider,69683,05/17/2021,03/17/2021,Hacking/IT Incident,Email,Archived,2021,61
Community Hospital,WI,Healthcare Provider,15961,12/20/2021,07/03/2021,Hacking/IT Incident,Network Server,Archived,2021,170
Valley Healthcare,DC,Healthcare Provider,2633,12/20/2021,11/06/2021,Theft,Network Server,Archived,2021,44
Wellspring Health Network,ME,Healthcare Provider,29020,10/06/2021,08/15/2021,Hacking/IT Incident,Paper/Films,Archived,2021,52
Advanced Urgent Care,MT,Healthcare Provider,31852,08/27/2021,03/02/2021,Hacking/IT Incident,Network Server,Archived,2021,178
MedSecure Solutions,TX,Business Associate,723,03/03/2021,01/15/2021,Hacking/IT Incident,Laptop,Archived,2021,47
Horizon Health Services,PA,Healthcare Provider,500,04/09/2022,12/31/2021,Unauthorized Access/Disclosure,Email,Archived,2021,99
Lakeside Pharmacy,NH,Healthcare Provider,5306,12/07/2021,07/29/2021,Hacking/IT Incident,Network Server,Archived,2021,131
Premier Urgent Care,MA,Healthcare Provider,1405,01/20/2022,11/09/2021,Other,Email,Archived,2021,72
Liberty Clinical Associates,MT,Healthcare Provider,4388,04/24/2021,03/16/2021,Theft,Laptop,Archived,2021,39
Pinnacle Rehabilitation Center,MN,Healthcare Provider,1544,11/09/2021,10/22/2021,Theft,Paper/Films,Archived,2021,18
WellCare Health Plans,VA,Health Plan,1312,06/14/2021,01/11/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,154
HealthFirst IT,MS,Business Associate,500,09/16/2021,06/02/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,106
Providence Eye Care,TN,Healthcare Provider,1601,10/25/2021,07/18/2021,Hacking/IT Incident,Network Server,Archived,2021,99
University Family Practice,NM,Healthcare Provider,1008,04/30/2021,02/17/2021,Hacking/IT Incident,Email,Archived,2021,72
Alliance Medical Group,IA,Healthcare Provider,1802,06/06/2021,01/11/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,146
Sacred Heart Medical Group,CA,Healthcare Provider,1657,11/13/2021,09/13/2021,Hacking/IT Incident,Network Server,Archived,2021,61
Aetna Health Plan,MO,Health Plan,667,10/06/2021,09/20/2021,Hacking/IT Incident,Network Server,Archived,2021,16
Horizon Surgical Center,CO,Healthcare Provider,6635,08/31/2021,05/07/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,116
Memorial Medical Group,LA,Healthcare Provider,500,08/20/2021,03/31/2021,Hacking/IT Incident,Network Server,Archived,2021,142
Premier Medical Group,MD,Healthcare Provider,500,02/23/2022,11/14/2021,Theft,Desktop Computer,Archived,2021,101
Good Samaritan Hospital,NY,Healthcare Provider,893,08/09/2021,03/13/2021,Theft,Network Server,Archived,2021,149
Summit Healthcare,CT,Healthcare Provider,36821,06/11/2022,12/20/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,173
Pacific Healthcare,UT,Healthcare Provider,756,04/16/2021,01/14/2021,Hacking/IT Incident,Network Server,Archived,2021,92
Alliance Health Plan,CA,Healthcare Provider,500,01/13/2022,11/06/2021,Other,Paper/Films,Archived,2021,68
Premier Hospital,KS,Healthcare Provider,500,08/12/2021,03/22/2021,Hacking/IT Incident,Network Server,Archived,2021,143
Heritage Rehabilitation Center,TN,Healthcare Provider,4399,08/05/2021,02/24/2021,Hacking/IT Incident,Email,Archived,2021,162
Horizon Dental Group,VA,Healthcare Provider,32224,01/31/2021,01/02/2021,Hacking/IT Incident,Network Server,Archived,2021,29
Legacy Rehabilitation Center,PA,Healthcare Provider,22870,03/09/2022,12/13/2021,Hacking/IT Incident,Email,Archived,2021,86
Anthem Blue Cross,IL,Health Plan,105493,06/10/2021,04/22/2021,Hacking/IT Incident,Email,Archived,2021,49
Liberty Family Practice,MD,Healthcare Provider,2500,05/06/2021,02/08/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,87
Valley Health System,HI,Healthcare Provider,3206,09/14/2021,06/01/2021,Hacking/IT Incident,Other,Archived,2021,105
Beacon Dental Group,VA,Healthcare Provider,8782,11/18/2021,08/08/2021,Hacking/IT Incident,Network Server,Archived,2021,102
National Dental Group,NM,Healthcare Provider,8167,06/23/2022,12/25/2021,Hacking/IT Incident,Paper/Films,Archived,2021,180
Beacon Pharmacy,KY,Healthcare Provider,523,06/07/2021,05/06/2021,Hacking/IT Incident,Network Server,Archived,2021,32
Lakeside Health Services,TN,Healthcare Provider,6797,03/24/2022,11/20/2021,Hacking/IT Incident,Email,Archived,2021,124
Wellspring Family Practice,NH,Healthcare Provider,728,03/28/2021,02/06/2021,Hacking/IT Incident,Network Server,Archived,2021,50
HealthVault Systems,ID,Business Associate,36113,05/11/2021,02/12/2021,Hacking/IT Incident,Network Server,Archived,2021,88
Riverside Health Plan,KS,Healthcare Provider,557,09/07/2021,06/22/2021,Hacking/IT Incident,Network Server,Archived,2021,77
Integrated Physicians Group,LA,Healthcare Provider,500,04/27/2022,11/03/2021,Hacking/IT Incident,Email,Archived,2021,175
University Surgical Center,NE,Healthcare Provider,9485,09/03/2021,04/14/2021,Unauthorized Access/Disclosure,Laptop,Archived,2021,142
Anthem Blue Cross,NJ,Health Plan,1978,05/10/2021,01/16/2021,Hacking/IT Incident,Network Server,Archived,2021,114
Harmony Medical Group,MI,Healthcare Provider,8626,08/10/2021,04/23/2021,Other,Network Server,Archived,2021,109
Integrated Urgent Care,VT,Healthcare Provider,885,10/30/2021,07/07/2021,Improper Disposal,Network Server,Archived,2021,115
Sacred Heart Rehabilitation Center,NE,Healthcare Provider,830,10/01/2021,08/07/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,55
United Surgical Center,NE,Healthcare Provider,20666,05/03/2021,01/03/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,120
MedBridge Analytics,WY,Business Associate,11872,01/08/2022,12/11/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,28
Liberty Health Network,HI,Healthcare Provider,500,08/03/2021,04/29/2021,Hacking/IT Incident,Network Server,Archived,2021,96
CarePoint Technologies,MT,Business Associate,3120,10/08/2021,06/04/2021,Theft,Network Server,Archived,2021,126
Memorial Family Practice,DE,Healthcare Provider,3197,01/21/2022,09/10/2021,Theft,Other,Archived,2021,133
Sacred Heart Medical Center,MS,Healthcare Provider,14652,06/30/2021,03/12/2021,Hacking/IT Incident,Network Server,Archived,2021,110
Riverside Health Plan,RI,Healthcare Provider,348698,05/17/2021,02/17/2021,Hacking/IT Incident,Email,Archived,2021,89
Alliance Urgent Care,SD,Healthcare Provider,19087,01/10/2022,10/18/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,84
University Health Services,GA,Healthcare Provider,2078,01/26/2022,09/24/2021,Unauthorized Access/Disclosure,Paper/Films,Archived,2021,124
Heritage Physicians Group,IN,Healthcare Provider,17503,07/04/2021,05/18/2021,Other,Network Server,Archived,2021,47
MedBridge Analytics,AR,Business Associate,1882,08/04/2021,07/15/2021,Theft,Electronic Medical Record,Archived,2021,20
Memorial Surgical Center,LA,Healthcare Provider,123794,12/29/2021,11/23/2021,Hacking/IT Incident,Network Server,Archived,2021,36
Good Samaritan Healthcare Clearinghouse,OR,Healthcare Clearinghouse,961,06/20/2021,01/13/2021,Hacking/IT Incident,Desktop Computer,Archived,2021,158
Heritage Rehabilitation Center,IL,Healthcare Provider,657,11/04/2021,05/14/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,174
Wellspring Medical Center,DC,Healthcare Provider,14614,09/01/2021,07/20/2021,Hacking/IT Incident,Network Server,Archived,2021,43
National Family Practice,PA,Healthcare Provider,2111,04/17/2021,01/19/2021,Hacking/IT Incident,Network Server,Archived,2021,88
Horizon Physicians Group,AZ,Healthcare Provider,553,12/29/2021,09/18/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,102
Legacy Medical Center,SC,Healthcare Provider,5335,12/05/2021,09/02/2021,Hacking/IT Incident,Email,Archived,2021,94
St. Mary's Medical Center,CT,Healthcare Provider,89722,10/01/2021,05/25/2021,Hacking/IT Incident,Other Portable Electronic Device,Archived,2021,129
Heritage Urgent Care,NM,Healthcare Provider,500,01/13/2022,07/27/2021,Hacking/IT Incident,Network Server,Archived,2021,170
American Healthcare Clearinghouse,MS,Healthcare Clearinghouse,2668,11/19/2021,07/19/2021,Hacking/IT Incident,Email,Archived,2021,123
Wellspring Physicians Group,SD,Healthcare Provider,1289587,11/27/2021,08/13/2021,Hacking/IT Incident,Network Server,Archived,2021,106
St. Mary's Rehabilitation Center,WA,Healthcare Provider,2261,11/19/2021,06/20/2021,Hacking/IT Incident,Network Server,Archived,2021,152
Advanced Health Plan,TN,Healthcare Provider,2994,02/19/2022,12/28/2021,Other,Email,Archived,2021,53
Riverside Healthcare,KY,Healthcare Provider,4271,06/20/2021,03/25/2021,Hacking/IT Incident,Paper/Films,Archived,2021,87
American Dental Group,MO,Healthcare Provider,22092,05/14/2021,02/04/2021,Hacking/IT Incident,Email,Archived,2021,99
Integrated Dental Group,VT,Healthcare Provider,1216,08/02/2021,03/22/2021,Hacking/IT Incident,Paper/Films,Archived,2021,133
BlueCross BlueShield of SD,SD,Health Plan,14506,03/12/2022,11/23/2021,Hacking/IT Incident,Network Server,Archived,2021,109
VitalConnect Inc,CA,Business Associate,500,09/18/2021,08/07/2021,Hacking/IT Incident,Paper/Films,Archived,2021,42
RxTech Solutions,NJ,Business Associate,1100,09/29/2021,04/25/2021,Unauthorized Access/Disclosure,Email,Archived,2021,157
Atlantic Hospital,LA,Healthcare Provider,933,07/23/2021,03/07/2021,Unauthorized Access/Disclosure,Network Server,Archived,2021,138
Humana Health Plan,SD,Health Plan,1961,03/06/2021,02/07/2021,Hacking/IT Incident,Network Server,Archived,2021,27
Beacon Eye Care,MT,Healthcare Provider,76871,01/11/2022,12/14/2021,Other,Network Server,Archived,2021,28
HealthFirst IT,RI,Business Associate,1137,05/04/2022,12/31/2021,Hacking/IT Incident,Email,Archived,2021,124
Centene Corp,KY,Health Plan,15956,11/23/2021,08/11/2021,Hacking/IT Incident,Network Server,Archived,2021,104
Good Samaritan Hospital,WY,Healthcare Provider,72489,12/10/2021,09/26/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,75
Atlantic Medical Group,UT,Healthcare Provider,690,04/18/2022,12/31/2021,Hacking/IT Incident,Network Server,Archived,2021,108
Sacred Heart Urgent Care,AL,Healthcare Provider,19001,12/04/2021,11/16/2021,Hacking/IT Incident,Network Server,Archived,2021,18
Community Healthcare,MN,Healthcare Provider,18571,05/08/2022,11/24/2021,Hacking/IT Incident,Network Server,Archived,2021,165
Alliance Rehabilitation Center,NC,Healthcare Provider,207524,01/27/2021,01/05/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,22
Heritage Health Plan,NM,Healthcare Provider,15406,12/07/2021,06/22/2021,Hacking/IT Incident,Email,Archived,2021,168
Alliance Urgent Care,MD,Healthcare Provider,74298,08/02/2021,02/15/2021,Hacking/IT Incident,Paper/Films,Archived,2021,168
Cigna Healthcare,TX,Health Plan,4815,08/10/2021,05/26/2021,Hacking/IT Incident,Other,Archived,2021,76
Wellspring Health Services,MI,Healthcare Provider,4877,04/01/2022,12/03/2021,Hacking/IT Incident,Email,Archived,2021,119
UnitedHealth Group,DE,Health Plan,533,01/27/2021,01/02/2021,Hacking/IT Incident,Network Server,Archived,2021,25
Regional Pharmacy,WV,Healthcare Provider,44482,08/01/2021,07/13/2021,Hacking/IT Incident,Network Server,Archived,2021,19
PrimeHealth Analytics,WA,Business Associate,1694,06/25/2021,02/28/2021,Hacking/IT Incident,Email,Archived,2021,117
Atlantic Hospital,SD,Healthcare Provider,31506,02/10/2022,12/02/2021,Hacking/IT Incident,Network Server,Archived,2021,70
Liberty Home Health,PA,Healthcare Provider,5507,03/13/2022,09/27/2021,Hacking/IT Incident,Network Server,Archived,2021,167
Horizon Healthcare Clearinghouse,MA,Healthcare Clearinghouse,500,03/25/2022,09/27/2021,Hacking/IT Incident,Network Server,Archived,2021,179
Providence Medical Center,FL,Healthcare Provider,1975,01/04/2022,11/04/2021,Theft,Electronic Medical Record,Archived,2021,61
UnitedHealth Group,KY,Health Plan,6092,05/03/2021,02/15/2021,Hacking/IT Incident,Email,Archived,2021,77
Wellspring Health System,OK,Healthcare Provider,17767,05/02/2021,03/13/2021,Hacking/IT Incident,Other,Archived,2021,50
Kaiser Foundation,CA,Health Plan,6227,11/11/2021,08/23/2021,Theft,Network Server,Archived,2021,80
Liberty Home Health,WA,Healthcare Provider,13165,06/25/2021,01/05/2021,Hacking/IT Incident,Network Server,Archived,2021,171
Premier Hospital,OR,Healthcare Provider,31902,01/22/2022,08/05/2021,Hacking/IT Incident,Network Server,Archived,2021,170
Alliance Health Services,IA,Healthcare Provider,70317,01/29/2022,12/20/2021,Hacking/IT Incident,Email,Archived,2021,40
Premier Hospital,MT,Healthcare Provider,1288,09/03/2021,05/01/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,125
Legacy Hospital,AR,Healthcare Provider,3646,12/09/2021,08/06/2021,Hacking/IT Incident,Electronic Medical Record,Archived,2021,125
Memorial Eye Care,NM,Healthcare Provider,56164,10/28/2021,07/22/2021,Hacking/IT Incident,Email,Archived,2021,98
Beacon Urgent Care,HI,Healthcare Provider,3224,04/14/2021,02/24/2021,Hacking/IT Incident,Network Server,Archived,2021,49
Regional Surgical Center,AK,Healthcare Provider,500,09/11/2021,04/07/2021,Hacking/IT Incident,Network Server,Archived,2021,157
Atlantic Health Network,WV,Healthcare Provider,2128580,10/25/2021,07/18/2021,Hacking/IT Incident,Paper/Films,Archived,2021,99
